"Key","Example","Source","Context","Game Locations","es","es translator type","pt","pt translator type","ja","ja translator type","ko","ko translator type","fr","fr translator type","de","de translator type","id","id translator type"
"pal.pip_tree","","Tree Frog Pip","Coat colour for the frog chef Pip","","Pip Rana Arborícola","User","Pip Perereca","User","アマガエルのピップ","User","청개구리 핍","User","Pip rainette","User","Laubfrosch-Pip","User","Pip Katak Pohon","User"
"pal.pip_axolotl","","Axolotl Pip","Coat colour","","Pip Ajolote","User","Pip Axolote","User","ウーパールーパーのピップ","User","아홀로틀 핍","User","Pip axolotl","User","Axolotl-Pip","User","Pip Aksolotl","User"
"pal.pip_gilded","","Gilded Pip","Coat colour (pass item)","","Pip Dorado","User","Pip Dourado","User","ゴールドのピップ","User","골드 핍","User","Pip doré","User","Vergoldeter Pip","User","Pip Emas","User"
"pal.pip_midnight","","Midnight Pip","Coat colour (pass item)","","Pip Medianoche","User","Pip Meia-Noite","User","ミッドナイトのピップ","User","미드나이트 핍","User","Pip minuit","User","Mitternachts-Pip","User","Pip Tengah Malam","User"
"pal.nori_calico","","Calico Nori","Coat colour for the cat chef Nori","","Nori Carey","User","Nori Tricolor","User","三毛のノリ","User","삼색 노리","User","Nori tricolore","User","Glückskatze Nori","User","Nori Belang Tiga","User"
"pal.nori_void","","Void Nori","Coat colour","","Nori Sombra","User","Nori Sombrio","User","ヴォイドのノリ","User","보이드 노리","User","Nori du vide","User","Schatten-Nori","User","Nori Kelam","User"
"pal.nori_gilded","","Gilded Nori","Coat colour (pass item)","","Nori Dorado","User","Nori Dourado","User","ゴールドのノリ","User","골드 노리","User","Nori doré","User","Vergoldeter Nori","User","Nori Emas","User"
"pal.nori_midnight","","Midnight Nori","Coat colour (pass item)","","Nori Medianoche","User","Nori Meia-Noite","User","ミッドナイトのノリ","User","미드나이트 노리","User","Nori minuit","User","Mitternachts-Nori","User","Nori Tengah Malam","User"
"pal.mochi_bluejay","","Blue Jay Mochi","Coat colour for the bird chef Mochi","","Mochi Arrendajo","User","Mochi Gaio-Azul","User","アオカケスのモチ","User","블루제이 모찌","User","Mochi geai bleu","User","Blauhäher-Mochi","User","Mochi Jay Biru","User"
"pal.mochi_cardinal","","Cardinal Mochi","Coat colour","","Mochi Cardenal","User","Mochi Cardeal","User","カーディナルのモチ","User","카디널 모찌","User","Mochi cardinal","User","Kardinal-Mochi","User","Mochi Kardinal","User"
"pal.mochi_gilded","","Gilded Mochi","Coat colour (pass item)","","Mochi Dorado","User","Mochi Dourado","User","ゴールドのモチ","User","골드 모찌","User","Mochi doré","User","Vergoldeter Mochi","User","Mochi Emas","User"
"pal.mochi_midnight","","Midnight Mochi","Coat colour (pass item)","","Mochi Medianoche","User","Mochi Meia-Noite","User","ミッドナイトのモチ","User","미드나이트 모찌","User","Midnight Mochi","User","Mitternachts-Mochi","User","Mochi Tengah Malam","User"
"fmt.level_coins","","Level {1}  ·  {2} coins  ·  {3} shifts worked","Career header: level, coins, rounds","","Nivel {1}  ·  {2} monedas  ·  {3} turnos","User","Nível {1}  ·  {2} moedas  ·  {3} turnos","User","レベル{1}  ·  {2}コイン  ·  {3}シフト","User","레벨 {1}  ·  {2} 코인  ·  {3}회 근무","User","Niveau {1}  ·  {2} pièces  ·  {3} services","User","Level {1}  ·  {2} Münzen  ·  {3} Schichten","User","Level {1}  ·  {2} koin  ·  {3} shift","User"
"fmt.lv_coins","","Lv {1}  ·  {2} coins","Compact info chip","","Nv {1}  ·  {2} monedas","User","Nv {1}  ·  {2} moedas","User","Lv{1}  ·  {2}コイン","User","Lv {1}  ·  {2} 코인","User","Nv {1}  ·  {2} pièces","User","Lv {1}  ·  {2} Münzen","User","Lv {1}  ·  {2} koin","User"
"fmt.streak","","🔥{1} day streak","Consecutive days played","","🔥{1} días seguidos","User","🔥{1} dias seguidos","User","🔥{1}日連続","User","🔥{1}일 연속","User","🔥{1} jours d'affilée","User","🔥{1} Tage in Folge","User","🔥{1} hari beruntun","User"
"fmt.xp_to_next","","{1} / {2} XP to level {3}","XP progress bar caption","","{1} / {2} XP para el nivel {3}","User","{1} / {2} XP para o nível {3}","User","レベル{3}まで {1} / {2} XP","User","레벨 {3}까지 {1} / {2} XP","User","{1} / {2} XP jusqu'au niveau {3}","User","{1} / {2} XP bis Level {3}","User","{1} / {2} XP ke level {3}","User"
"fmt.plus_coins","","+{1} coins","Results: coins earned","","+{1} monedas","User","+{1} moedas","User","+{1}コイン","User","+{1} 코인","User","+{1} pièces","User","+{1} Münzen","User","+{1} koin","User"
"fmt.plus_xp","","+{1} XP","Results: xp earned","","+{1} XP","User","+{1} XP","User","+{1} XP","User","+{1} XP","User","+{1} XP","User","+{1} XP","User","+{1} XP","User"
"fmt.level_up","","LEVEL {1}!","Results: level-up burst","","¡NIVEL {1}!","User","NÍVEL {1}!","User","レベル{1}！","User","레벨 {1}!","User","NIVEAU {1} !","User","LEVEL {1}!","User","LEVEL {1}!","User"
"fmt.buy_cost","","BUY  {1}c","Buy button with a price","","COMPRAR  {1}c","User","COMPRAR  {1}c","User","購入  {1}c","User","구매  {1}c","User","ACHETER  {1}c","User","KAUFEN  {1}c","User","BELI  {1}c","User"
"fmt.level_gate","","Lv {1}","Shop: locked until this level","","Nv {1}","User","Nv {1}","User","Lv{1}","User","Lv {1}","User","Nv {1}","User","Lv {1}","User","Lv {1}","User"
"fmt.join_name","","JOIN {1}","Join a named friend's server","","UNIRSE A {1}","User","ENTRAR COM {1}","User","{1}に参加","User","{1} 참가","User","REJOINDRE {1}","User","{1} BEITRETEN","User","GABUNG {1}","User"
"fmt.welcome_named","","Welcome back, {1}","Greeting with the player's display name","","Bienvenido de nuevo, {1}","User","Bem-vindo de volta, {1}","User","おかえりなさい、{1}","User","돌아오셨군요, {1}","User","Bon retour, {1}","User","Willkommen zurück, {1}","User","Selamat datang kembali, {1}","User"
"fmt.results_line","","{1} dishes served  ·  best streak {2}  ·  {3} team coins","Results summary line","","{1} platos servidos  ·  mejor racha {2}  ·  {3} monedas de equipo","User","{1} pratos servidos  ·  melhor sequência {2}  ·  {3} moedas da equipe","User","{1}皿提供  ·  最高連続{2}  ·  チームコイン{3}","User","{1}개 서빙  ·  최고 연속 {2}  ·  팀 코인 {3}","User","{1} plats servis  ·  meilleure série {2}  ·  {3} pièces d'équipe","User","{1} Gerichte serviert  ·  beste Serie {2}  ·  {3} Team-Münzen","User","{1} hidangan disajikan  ·  rentetan terbaik {2}  ·  {3} koin tim","User"
"fmt.goal_progress","","{1}/{2}  ·  +{3}c  +{4} XP","Daily goal progress and reward","","{1}/{2}  ·  +{3}c  +{4} XP","User","{1}/{2}  ·  +{3}c  +{4} XP","User","{1}/{2}  ·  +{3}c  +{4} XP","User","{1}/{2}  ·  +{3}c  +{4} XP","User","{1}/{2}  ·  +{3}c  +{4} XP","User","{1}/{2}  ·  +{3}c  +{4} XP","User","{1}/{2}  ·  +{3}c  +{4} XP","User"
"fmt.waiting_crew","","WAITING FOR CREW  {1}/{2}","Ready button while others are not ready","","ESPERANDO AL EQUIPO  {1}/{2}","User","AGUARDANDO EQUIPE  {1}/{2}","User","仲間を待機中  {1}/{2}","User","동료 대기 중  {1}/{2}","User","EN ATTENTE  {1}/{2}","User","WARTE AUF TEAM  {1}/{2}","User","MENUNGGU TIM  {1}/{2}","User"
"fmt.value_unit","","{1} {2}","Leaderboard row: a number and its unit","","{1} {2}","User","{1} {2}","User","{1} {2}","User","{1} {2}","User","{1} {2}","User","{1} {2}","User","{1} {2}","User"
"fmt.coins_unit","","coins","Leaderboard unit","","monedas","User","moedas","User","コイン","User","코인","User","pièces","User","Münzen","User","koin","User"
"fmt.dishes_unit","","dishes","Leaderboard unit","","platos","User","pratos","User","皿","User","요리","User","plats","User","Gerichte","User","hidangan","User"
"fmt.ticket_grab","","Ticket: {1}. Grab {2} from the glowing crate.","Tutorial: fetch an ingredient for a named recipe","","Pedido: {1}. Coge {2} de la caja que brilla.","User","Pedido: {1}. Pegue {2} na caixa brilhante.","User","注文：{1}。光った木箱から{2}を取ろう。","User","주문: {1}. 빛나는 상자에서 {2}을(를) 가져오세요.","User","Commande : {1}. Prenez {2} dans la caisse qui brille.","User","Bestellung: {1}. Hol {2} aus der leuchtenden Kiste.","User","Pesanan: {1}. Ambil {2} dari peti yang menyala.","User"
"fmt.ticket_complete","","{1} is complete — pick up the plate and serve it.","Tutorial: order finished","","{1} está listo: coge el plato y sírvelo.","User","{1} está pronto — pegue o prato e sirva.","User","{1}が完成 — お皿を持って提供しよう。","User","{1} 완성 — 접시를 들고 서빙하세요.","User","{1} est prêt — prenez l'assiette et servez.","User","{1} ist fertig — nimm den Teller und serviere.","User","{1} sudah lengkap — ambil piringnya dan sajikan.","User"
"fmt.ticket_not_needed","","The ticket doesn't need {1} — put it back in the crate.","Tutorial: wrong ingredient in hand","","El pedido no necesita {1}: devuélvelo a la caja.","User","O pedido não precisa de {1} — devolva à caixa.","User","この注文に{1}は不要 — 木箱に戻そう。","User","이 주문에는 {1}이(가) 필요 없어요 — 상자에 돌려놓으세요.","User","La commande n'a pas besoin de {1} — remettez-le dans la caisse.","User","Die Bestellung braucht kein {1} — leg es zurück in die Kiste.","User","Pesanan tidak butuh {1} — kembalikan ke peti.","User"
"fmt.ready_collect","","That {1} is ready — pick it up and add it to your plate.","Tutorial: prepped item waiting","","El {1} está listo: cógelo y añádelo al plato.","User","O {1} está pronto — pegue e ponha no prato.","User","{1}ができた — 取ってお皿に加えよう。","User","{1}이(가) 준비됐어요 — 집어서 접시에 올리세요.","User","Ce {1} est prêt — prenez-le et ajoutez-le à l'assiette.","User","Das {1} ist fertig — nimm es und leg es auf den Teller.","User","{1} sudah siap — ambil dan tambahkan ke piringmu.","User"
"ui.roster_invite","","＋ INVITE","Button on an EMPTY chair in the four-seat lobby roster. Opens the Roblox invite sheet. Very tight fixed-width chip, so keep it to one short word plus the plus sign.","","＋ INVITAR","User","＋ CONVIDAR","User","＋ 招待","User","＋ 초대","User","＋ INVITER","User","＋ EINLADEN","User","＋ UNDANG","User"
"ui.roster_ready","","✅ ready","Status line under a player's name in the lobby roster, meaning they have pressed Ready. Lower case on purpose: it sits under the name as a caption, not as a heading. Keep it short, the chip is fixed width.","","✅ listo","User","✅ pronto","User","✅ 準備OK","User","✅ 준비 완료","User","✅ prêt","User","✅ bereit","User","✅ siap","User"
"ui.roster_bot","","Bot","Name shown on a lobby chair occupied by a computer-controlled chef rather than a person. A noun, the kind of player it is.","","Bot","User","Bot","User","ボット","User","봇","User","Bot","User","Bot","User","Bot","User"
"ui.roster_bot_sub","","filling in","Caption under 'Bot' on a lobby chair: this bot is standing in for a missing player and will give the seat up when somebody joins. Short, lower case, fixed-width chip.","","cubriendo","User","reserva","User","代役で参加","User","대신 참여","User","en renfort","User","springt ein","User","pengganti","User"
"ui.ready_pledge","","READY","The main lobby button WHEN OTHER PEOPLE ARE PRESENT. It is a pledge -- 'I am ready, start when everyone else is' -- not a command to begin. When the player is alone the button says START SHIFT instead (ui.start_shift), because then it really does start the round. NOTE: ui.ready is a DIFFERENT string, 'READY!' with an exclamation mark, still used on the Kitchen Card. This one has no exclamation mark because it alternates with START SHIFT on the same button and they should be punctuated alike.","","LISTO","User","PRONTO","User","準備OK","User","준비 완료","User","PRÊT","User","BEREIT","User","SIAP","User"
"ui.share_photo","","SHARE PHOTO","Button at the end of a shift that opens the device's share sheet with a screenshot of the crew. 'Photo' as in a picture of the team, not a photograph in general.","","COMPARTIR FOTO","User","COMPARTILHAR FOTO","User","写真をシェア","User","사진 공유","User","PARTAGER LA PHOTO","User","FOTO TEILEN","User","BAGIKAN FOTO","User"
"ui.share_unavailable","","Sharing is not available on this account","Toast shown when the platform refuses the share sheet, usually because the account is too young for it. Explain, do not apologise.","","Compartir no está disponible en esta cuenta","User","O compartilhamento não está disponível nesta conta","User","このアカウントでは共有できません","User","이 계정에서는 공유할 수 없습니다","User","Le partage n'est pas disponible sur ce compte","User","Teilen ist mit diesem Konto nicht möglich","User","Berbagi tidak tersedia di akun ini","User"
"ui.share_failed","","Could not take the photo","Toast shown when the screenshot itself failed, before any sharing was attempted.","","No se pudo tomar la foto","User","Não foi possível tirar a foto","User","写真を撮れませんでした","User","사진을 찍지 못했습니다","User","Impossible de prendre la photo","User","Foto konnte nicht aufgenommen werden","User","Tidak dapat mengambil foto","User"
"ui.roster_away","","away","Status under a player's name on a lobby chair when they have stopped responding and the crew can start without them. Lower case caption on a fixed-width chip; keep it to one short word.","","ausente","User","ausente","User","離席中","User","자리 비움","User","absent","User","abwesend","User","pergi","User"
"ui.roster_choosing","","choosing","Status under a player's name on a lobby chair when they are present but have not pressed Ready yet -- deciding, browsing the wardrobe, not gone. Lower case caption on a fixed-width chip; keep it short.","","decidiendo","User","decidindo","User","検討中","User","고민 중","User","hésite","User","überlegt","User","memilih","User"
"ui.chair_take_bot","","tap to play","Caption under 'Bot' on a lobby chair: tapping the chair makes you play as that character instead, and the bot takes the one you left. Imperative, lower case, fixed-width chip.","","toca para jugar","User","toque para jogar","User","タップで交代","User","탭하여 플레이","User","toucher pour jouer","User","tippen zum Spielen","User","ketuk untuk main","User"
"ui.chair_take_empty","","or tap to play","Caption on an EMPTY lobby chair, under the invite button. The 'or' matters: the first offer is to invite somebody into the chair, and this is the alternative -- take that character yourself.","","o toca para jugar","User","ou toque para jogar","User","または自分で使う","User","또는 직접 플레이","User","ou jouer ce chef","User","oder selbst spielen","User","atau main sendiri","User"
